,XID,Name,Kind,City,OSM,WikiData,Rate,Lon,Lat,NewWikiData,Description
10,R2302969,Автозаводский парк культуры и отдыха,"urban_environment,gardens_and_parks,cultural,interesting_places",Нижний Новгород,relation/2302969,Q4056241,3h,43.854343,56.23904,Q4056241,"Автозаводский парк — парк в Нижнем Новгороде. Основан в 1935 году и имеет площадь — 69,9 га, в том числе 2 искусственных пруда площадью 12,5 га.Границы парка были определены в рамках проекта планировки территории Автозаводского района в 1931 году. До начала строительства на заболоченной территории будущего парка размещались в основном малочисленные естественные зелёные насаждения: берёзы, ивы, тополя. Изначально не было отдельного постановления о выделении, какого-либо участка земли под парк культуры. Территория его формировалась при общей планировке микрорайона «Соцгород».Автозаводский парк — памятник ландшафтной архитектуры. В нём сохранилась оригинальная регулярная планировка, многорядовые липовые аллеи, система фонтанов, цветочные партеры и широкие аллеи, предназначенные для проведения массовых общественных мероприятий. Парк является яркой иллюстрацией архитектурно-планировочных принципов, разработанных в 1930-х годах, получивших дальнейшее развитие в 1940—1950-е годы."
11,W159080177,Собор Александра Невского,"religion,cathedrals,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,way/159080177,Q726541,3h,43.971439,56.333679,Q726541,"Собор святого благоверного князя Александра Невского (Новоя́рмарочный) — православный храм в историческом центре Нижнего Новгорода, на стрелке Волги и Оки. С 2009 года — кафедральный собор Нижегородской епархии Русской православной церкви. Построен в 1868—1881 годах по проекту архитектора Льва Владимировича Даля.Настоятель (ключарь) — протоиерей Сергий Матвеев с 12 января 2005 года."
12,R2906508,Собор Архангела Михаила,"religion,cathedrals,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,relation/2906508,Q1365942,3h,44.001873,56.328293,Q1365942,"Миха́йло-Арха́нгельский собор — памятник шатрового зодчества XVII века на территории Нижегородского кремля. Древнейший каменный храм Нижнего Новгорода, ведёт историю со времени основания города. Освящён в честь покровителя русского воинства — архангела Михаила."
13,R4356826,Церковь в честь Рождества Богородицы,"religion,churches,interesting_places,other_churches",Нижний Новгород,relation/4356826,Q97678623,3h,43.755871,56.209595,Q97678623,"Церковь Рождества Пресвятой Богородицы в Гнилицах — православный храм в Автозаводском районе Нижнего Новгорода. Выстроен в 1822 году на средства прихожан, жителей села Гнилицы — старинного плотницкого и судостроительного посёлка, расположенного вблизи берега реки Оки. В 1935 году село вошло в состав Нижнего Новгорода.Является памятником архитектуры русского классицизма — объектом культурного наследия регионального значения."
14,R2343568,Спасо-преображенская церковь,"religion,churches,interesting_places,other_churches",Нижний Новгород,relation/2343568,Q4430824,3h,43.933346,56.256714,Q4430824,Спасо-Преображенская (Карповская) церковь — православная церковь в Ленинском районе Нижнего Новгорода.
15,N5141071786,Дворец вице-губернатора,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,node/5141071786,Q99622643,3h,44.003147,56.327217,Q99622643,"Дом вице-губернатора — памятник градостроительства и архитектуры федерального значения в Нижнем Новгороде. Здание построено в 1786—1788 годах, предположительно, по проекту губернского архитектора Я. А. Ананьина в стиле русского классицизма. В 1825—1827 годах расширено по проекту архитектора И. Е. Ефимова.               Дом, выстроенный в период перепланировки города по первому регулярному плану, входит в архитектурный ансамбль Нижегородского кремля. Фиксирует восточную сторону плац-парадной площади. Является одним из лучших образцов русского классицизма в архитектуре Нижнего Новгорода."
16,W35979423,Парк имени Кулибина,"urban_environment,gardens_and_parks,cultural,interesting_places",Нижний Новгород,way/35979423,Q4345232,3h,44.008858,56.315018,Q4345232,"Парк Кули́бина — парк в центральной части Нижнего Новгорода. Создан на территории бывшего Петропавловского кладбища в 1940 году. Назван в честь российского механика-самоучки Ивана Петровича Кулибина, родившегося в Подновье и похороненного на Петропавловском кладбище в 1818 году (могила с памятником сохранилась)."
17,R2013332,Церковь Воскресения Христова,"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,relation/2013332,Q4126181,3h,43.978607,56.314247,Q4126181,Церковь в честь Воскресения Христова — православная церковь в Нижнем Новгороде. Входит в состав Нижегородского благочиннического округа Нижегородской и Арзамасской епархии. Построена в 1884—1886 годах. В советские годы была частично разрушена и перестроена в хлебзавод. Восстанавливалась с 2004 года.
18,W147129128,Храм Сергия Радонежского,"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,way/147129128,Q1508336,3h,43.987236,56.323441,Q1508336,"Храм преподобного Сергия Радонежского — приходской храм Нижегородского благочиния Нижегородской епархии Русской православной церкви. Освящён в 1869 году. Расположен на Сергиевской улице Нижнего Новгорода.Церковь Сергия Радонежского — один из старейших храмов исторического района Започаинье, известный с 1621 года. В средние века храм был частью Сергиева монастыря на Петушкове. Позже монастырь был упразднён, но деревянная церковь просуществовала до 1701 года, когда была отстроена в камне. Существующий храм построен в 1865—1869 годах по проекту архитектора Николая Фельдмана. В церкви сохранились уникальные росписи начала XX века выполненные в неорусском стиле."
19,R5393060,Храм святителей Московских,"religion,churches,interesting_places,other_churches",Нижний Новгород,relation/5393060,Q4505287,3h,43.997238,56.312874,Q4505287,"Храм Святителей Московских — православный храм в Нижнем Новгороде, подворье Серафимо-Дивеевского монастыря Нижегородской епархии Русской православной церкви.Главный престол освящён в честь святителей Московских Петра, Алексия, Ионы, Филиппа и Ермогена."
20,N6765906237,Скоба,"architecture,historic_architecture,interesting_places,restaurants,foods,tourist_facilities,other_buildings_and_structures",Нижний Новгород,node/6765906237,Q85134186,3h,43.995026,56.329548,Q85134186,Торговый дом «Скоба» — памятник архитектуры в историческом центре Нижнего Новгорода. Построен в 1859—1861 годах по проекту архитектора Н. И. Ужумедского-Грицевича в кирпичном стиле.
21,N2295063247,Нижегородский Кремль,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,node/2295063247,Q100270892,3h,44.005554,56.327255,Q100270892,"Арсенал Нижегородского кремля — памятник градостроительства и архитектуры федерального значения в Нижнем Новгороде. Здание построено в 1841—1843 годах, по указу императора Николая I.              Корпус Арсенала, выстроенный в период перепланировки города первой половины XIX века, входит в архитектурный ансамбль Нижегородского кремля. Изначально фиксировал юго-восточную сторону обширной Соборной площади. Является одним из лучших образцов русского классицизма в архитектуре Нижнего Новгорода.В течение долгого периода Арсенал использовался как склад военного имущества. В 2003 году здание было передано нижегородскому филиалу Государственного центра современного искусства. В течение 2009—2014 годов памятник был отреставрирован и приспособлен под музейное использование.С 2020 года является филиалом Государственного музея изобразительных искусств имени А. С. Пушкина."
22,R9649962,Лицей № 82,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,relation/9649962,Q4264363,3h,43.864075,56.349937,Q4264363,"Лицей № 82 — лицей в Сормовском районе Нижнего Новгорода. Наибольшую известность получил, как «Школа баррикад» после революции 1905 года."
23,R2906510,Часовая башня,"towers,architecture,interesting_places,other_towers",Нижний Новгород,relation/2906510,Q51885220,3h,43.998898,56.328785,Q51885220,"Часовая башня — башня Нижегородского кремля. Расположена в нагорной части между Северной и Ивановской башнями, на самом краю кремлёвской горы. Прясло между Часовой и Северной башнями — самое короткое в Кремле: его длина — всего 39 метров."
24,N2295063219,Горьковчане фронту,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",Нижний Новгород,node/2295063219,Q4290109,3h,44.005363,56.327061,Q4290109,"«Горьковча́не — фро́нту» — мемориал, посвящённый памяти трудовых подвигов горьковчан в годы Великой Отечественной войны. Расположен в Нижнем Новгороде, внутри Кремля, между Дмитриевской и Кладовой башнями.Авторы проекта — архитекторы С. А. Тимофеев, Б. С. Нелюбин, В. Я. Ковалёв."
25,R2917120,Нижегородский государственный художественный музей,"national_museums,cultural,museums,interesting_places,art_galleries",Нижний Новгород,relation/2917120,Q4318653,3h,44.006405,56.329548,Q4318653,"Нижегоро́дский госуда́рственный худо́жественный музе́й (сокр. НГХМ) — один из старейших музеев России, крупнейший музей изобразительного искусства в Нижегородской области. Открыт 25 июня (7 июля) 1896 года, став одним из первых общедоступных музеев в русской провинции.Экспозиция располагается в трёх якорных зданиях, являющихся памятниками архитектуры и градостроительства федерального значения:Русское искусство: Дом военного губернатора (Кремль, корпус 3)Зарубежное искусство: Дом купца Д. В. Сироткина (Верхне-Волжская набережная, дом 3)Русское искусство XX века: бывшее здание Нижегородского выставочного центра (площадь Минина и Пожарского, 2/2)Выставочные проекты НГХМ реализует в Манеже (Нижегородский кремль, корпус 1А) и в выставочном Пакгаузе (улица Стрелка, 21 И)."
26,R3022763,Рождественская церковь,"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,relation/3022763,Q1574846,3h,43.984966,56.327251,Q1574846,"Церковь Собора Пресвятой Богородицы, более известная как Рожде́ственская или Стро́гановская — православный храм на Рождественской улице Нижнего Новгорода. Построен в 1696—1719 годах на средства купца Григория Дмитриевича Строганова. Является одним из лучших образцов строгановского стиля, имеет статус памятника архитектуры федерального значения.В храме в настоящее время один престол: в честь Собора Пресвятой Богородицы."
27,W151548233,Музей-квартира А.М. Горького,"biographical_museums,cultural,museums,interesting_places,art_galleries",Нижний Новгород,way/151548233,Q4306041,3h,44.018635,56.322784,Q4306041,"Музе́й-кварти́ра А. М. Го́рького является филиалом Государственного ордена Почёта музея А. М. Горького и расположен в г. Нижний Новгород на ул. Семашко, 19."
28,R1992689,Благовещенский монастырь,"religion,monasteries,interesting_places",Нижний Новгород,relation/1992689,Q4087775,3h,43.976791,56.323032,Q4087775,"Благове́щенский монасты́рь — древнейший монастырь в Нижнем Новгороде, основанный в начале XIII века. Расположен в Нижегородском районе, на правом берегу Оки недалеко от её впадения в Волгу."
29,W152696709,Нижегородское речное училище,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,way/152696709,Q4318683,3h,44.015591,56.326916,Q4318683,"Нижегородское речное училище имени И. П. Kyлибина — учебное заведение среднего профессионального образования в Нижнем Новгороде, готовящее специалистов водного транспорта.С 2005 года — филиал Волжской государственной академии водного транспорта, которая сейчас называется Волжский государственный университет водного транспорта."
30,W28501972,Парк имени А.С. Пушкина,"urban_environment,gardens_and_parks,cultural,interesting_places",Нижний Новгород,way/28501972,Q4345262,3h,43.997265,56.309052,Q4345262,"Городско́й ландша́фтный парк культу́ры и о́тдыха и́мени Алекса́ндра Серге́евича Пу́шкина — парк культуры и отдыха в Нижнем Новгороде.Расположен в Советском районе. Ограничен улицами Белинского, Студёной, Тимирязева, телецентром и зданиями на улице Тимирязева. Площадь — 9,8 га. Длина (вдоль ул. Белинского) — 490 м, ширина от 125 (у телецентра) до 250 м (между ул. Белинского и Тимирязева).Часть парка является объектом культурного наследия (памятником истории) регионального значения, её граница проходит по диагональной дорожке, идущей от телецентра, и параллельно улице Белинского на уровне здания в центре парка.Современное официальное название и статус городского парк получил в сентябре 1990 года."
31,R2906509,Тайницкая башня,"towers,architecture,fortifications,historic,interesting_places,other_towers,fortified_towers",Нижний Новгород,relation/2906509,Q51949859,3h,43.997246,56.327576,Q51949859,"Тайницкая башня — круглая башня Нижегородского кремля. Расположена в нагорной части между Коромысловой и Северной башнями. От остальных круглых башен (не считая Часовую) отличается наличием дозорной вышки на шатре, как у Часовой и Никольской башен."
32,R2059374,Монумент героям Волжской военной флотилии,"historic,monuments_and_memorials,interesting_places,monuments",Нижний Новгород,relation/2059374,Q4302191,3h,43.988407,56.329079,Q4302191,"Монумент героям Волжской военной флотилии — памятник в Нижнем Новгороде, в сквере на площади Маркина. Посвящён героям Гражданской войны — морякам и речникам Волжской военной флотилии. Был открыт 5 ноября 1977 года."
33,N5141071785,Гарнизонная казарма,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,node/5141071785,Q100701435,3h,44.004299,56.327614,Q100701435,"Казарма гарнизонного батальона — памятник градостроительства и архитектуры регионального значения в Нижнем Новгороде. Здание построено в 1797—1806 годах, по проекту губернского архитектора Я. А. Ананьина в стиле русского классицизма. Перестроено в конце 1820-х годов по проекту губернского архитектора И. Е. Ефимова.               Дом, выстроенный в период перепланировки города по первому регулярному плану, входит в архитектурный ансамбль Нижегородского кремля."
34,N1056966401,Памятник жертвам и мученикам революции 1905 года,"historic,monuments_and_memorials,interesting_places,monuments",Нижний Новгород,node/1056966401,Q4343468,3h,44.01601,56.316841,Q4343468,"Памятник героям и жертвам революции 1905 года — памятник в Нижнем Новгороде, в сквере на площади Свободы. Архитектор — А. А. Яковлев-старший."
35,W108727791,Домик Петра I,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,way/108727791,Q4165829,3h,43.994991,56.325508,Q4165829,"Домик Петра в Нижнем Новгороде (также — Дом Чатыгина) — достопримечательность в центре Нижнего Новгорода, расположен на современной улице Почаинской (дом 27).Здание постройки конца XVII века. Согласно местному преданию, в этом доме император Пётр I останавливался в 1695 году перед Азовским походом.Первоначально палаты принадлежали купцу Чатыгину, в начале XVIII в. — купцам Докукиным, в 1765 г. — вдове Михаила Докукина Ирине Петровне. Впоследствии владельцы палат неоднократно менялись. В XIX в. здание сильно обветшало и использовалось как ночлежный дом. В 1888 г. при учреждении Нижегородской губернской учёной архивной комиссии дом как реликвия города был приобретен для размещения исторических материалов.6 марта 2008 г. Правительством Нижегородской области утверждены границы территории Дома Чатыгина (Дома Петра Первого) как объекта культурного наследия."
36,R3368610,Государственный центральный банк,"architecture,historic_architecture,interesting_places,banks,bank,tourist_facilities,other_buildings_and_structures",Нижний Новгород,relation/3368610,Q4146786,3h,43.998787,56.32003,Q4146786,"Ансамбль зданий Государственного банка в Нижнем Новгороде — памятник архитектуры неорусского стиля. Построен в 1911—1913 годах по проекту В. А. Покровского. Архитектурный ансамбль в неорусском стиле образуют: главное здание, жилой флигель для служащих, ограда кованая с воротами, часозвоня. Находится по адресу: Большая Покровская улица, д. 26."
37,W152110807,Усадьба Рукавишниковых,"biographical_museums,architecture,historic_architecture,cultural,museums,interesting_places,manor_houses",Нижний Новгород,way/152110807,Q80028563,3h,44.016083,56.329319,Q80028563,"Усадьба С. М. Рукавишникова — архитектурный ансамбль в историческом центре Нижнего Новгорода. Построена в период эклектики в 1875—1877 годах. Автором проекта здания является московский архитектор П. С. Бойцов. Усадебный комплекс, расположенный на Верхневолжской набережной, формирует речную панораму Нижнего Новгорода, закрепляя угол пересечения набережной и улицы Пискунова, играя важную градостроительную роль. Является одним из важнейших и известнейших архитектурных памятников города.Сегодня это главное здание Нижегородского государственного историко-архитектурного музея-заповедника. Весь исторический комплекс сегодня — объект культурного наследия Российской Федерации."
38,W151905928,Театр оперы и балета,"cultural,theatres_and_entertainments,interesting_places,music_venues,opera_houses",Нижний Новгород,way/151905928,Q172218,3h,44.017212,56.315525,Q172218,"Нижегородский государственный академический театр оперы и балета имени А. С. Пушкина (также — Оперный театр) — нижегородский театр, основанный в 1935 году как Горьковский театр оперы и балета. Расположен в Советском районе Нижнего Новгорода.Количество мест в зрительном зале — 1152."
39,W219812603,Обелиск Минину и Пожарскому,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",Нижний Новгород,way/219812603,Q4329133,3h,44.00243,56.32901,Q4329133,"Обели́ск в честь Ми́нина и Пожа́рского — монумент, увековечивающий память Кузьмы Минина и Дмитрия Пожарского в Нижнем Новгороде. Установлен в 1828 году в Нижегородском Кремле вместо первоначально планировавшегося памятника. Спроектирован архитектором А. И. Мельниковым, барельефы созданы по эскизам И. П. Мартоса."
40,W52464978,Церковь Знамения Божией Матери и святых Жен-Мироносиц,"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,way/52464978,Q4504699,3h,43.995018,56.324314,Q4504699,"Це́рковь Святы́х Жён-Мироно́сиц — православный храм в Нижнем Новгороде, первая приходская каменная церковь в Верхнем посаде. Первый в истории русского зодчества храм типа «корабль», характеризующийся строго осевым расположением алтаря, молельного зала, трапезной и колокольни над западным входом.В приходе церкви родились чудотворцы Евфимий Суздальский и Макарий Желтоводский.Главный престол освящён в честь святых жён-мироносиц, приделы — в честь иконы Божией Матери «Знамение», во имя апостолов Петра и Павла, во имя преподобных Макария Желтоводского и Евфимия Суздальского."
41,W151905925,Нижегородский острог,"cultural,museums,interesting_places,museums_of_science_and_technology,history_museums,other_technology_museums",Нижний Новгород,way/151905925,Q4318666,3h,44.017006,56.317223,Q4318666,"Нижегородский острог — бывшая тюрьма в историческом центре Нижнего Новгорода. Острог представляет собой комплекс из тюрьмы и административного здания. Построен в виде прямоугольника с четырьмя башнями по углам. Вся территория обнесена кирпичной стеной. В настоящее время используется как музей. Расположен по адресу: Нижний Новгород, пл. Свободы, 2а."
42,R546053,Сормовский парк,"urban_environment,gardens_and_parks,cultural,interesting_places",Нижний Новгород,relation/546053,Q4429057,3h,43.856071,56.338352,Q4429057,"Сормовский парк культуры и отдыха — парк в Нижнем Новгороде, расположенный на границе Сормовского и Московского районов. Его ограничивают бульвар Юбилейный, улица Ярошенко, улица Черняховского и улица Красных Зорь. Площадь парка — 146 гектаров. Парк является одним из самых популярных мест отдыха жителей Нижнего Новгорода."
43,R2990812,Блиновский пассаж,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,relation/2990812,Q79494225,3h,43.988136,56.32814,Q79494225,"Блино́вский пасса́ж — памятник истории и культуры в историческом центре Нижнего Новгорода. Построен в русском стиле в 1876—1878 годах по заказу нижегородских купцов Блиновых. Автором проекта выступил академик архитектуры Александр Бруни. Первый в истории торговый пассаж в архитектуре провинциальных городов России.Здание выступает архитектурной доминантой исторического района Нижний посад, Рождественской улицы и площади Маркина, является объектом культурного наследия Российской Федерации — памятником истории и культуры регионального значения."
44,W151548188,Шахматный дом (Игорный дом А.И. Троицкого),"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,way/151548188,Q93622482,3h,44.011173,56.325016,Q93622482,Игорный дом А. И. Троицкого — уничтоженный памятник градостроительства и архитектуры в историческом центре Нижнего Новгорода.
45,N585136663,Рекорд,"cultural,cinemas,theatres_and_entertainments,interesting_places",Нижний Новгород,node/585136663,Q99522676,3h,44.00481,56.323887,Q99522676,"Общежитие института инженеров водного транспорта с кинотеатром «Рекорд» — памятник градостроительства и архитектуры регионального значения в историческом центре Нижнего Новгорода. Построен в 1934—1938 годах, по проекту, выполненному в мастерской известного горьковского архитектора А. А. Яковлева (1879—1951). Дом расположен в месте пересечения улицы Пискунова и Алексеевской и вместе с «Чернопрудским небоскрёбом», расположенным напротив, фланкирует выход улицы Алексеевской к улице Пискунова. Является ярким образцом нижегородского постконструктивизма."
46,W151302806,Нижегородская государственная консерватория им. М.И. Глинки,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,way/151302806,Q4318618,3h,44.012947,56.327446,Q4318618,"Нижегоро́дская госуда́рственная консервато́рия им. М. И. Гли́нки — российская консерватория, расположенная в Нижнем Новгороде. В настоящее время представляет собой один из центров музыкальной культуры России и крупнейший центр музыкальной культуры Приволжского федерального округа [1]."
47,R2888456,Церковь Рождества Иоана Предтечи,"religion,churches,interesting_places,other_churches",Нижний Новгород,relation/2888456,Q2037203,3h,43.998135,56.329777,Q2037203,"Це́рковь Рождества́ Иоа́нна Предте́чи — православный храм в историческом центре Нижнего Новгорода. Деревянная церковь святого Иоанна Предтечи «в торгу» у Ивановского моста впервые упомянута в Писцовой книге 1621—1622 годов. Каменный храм освящён в 1683 году, повторно — 4 ноября 2005 года. По имени храма близлежащая башня кремля называется Ивановской. Церковь располагается на площади Народного Единства.Историографическим мифом является информация, что в Смутное время (в 1612 году) с паперти этого (тогда ещё деревянного) храма Козьма Минин воззвал нижегородцев к освобождению Москвы от польской интервенции."
48,R2906501,Коромыслова башня,"towers,architecture,interesting_places,other_towers",Нижний Новгород,relation/2906501,Q51885129,3h,43.998951,56.325813,Q51885129,"Коромыслова башня — круглая башня Нижегородского кремля, расположенная в нагорной части между Никольской и Тайницкой башнями. Если обозревать сооружение с противоположной стороны Зеленского съезда, то можно заметить, что башня вместе с примыкающими к ней пряслами (стенами) по форме напоминает женщину с коромыслом.Отличительной чертой башни является то, что она полностью, включая внутренние помещения, сделана из белого камня. По сохранности первоначального облика Коромыслова — лучшая среди всех круглых башен Нижегородского кремля."
49,W147599580,Усадьба Добролюбовых,"cultural,museums,interesting_places,other_museums",Нижний Новгород,way/147599580,Q65175093,3h,43.99844,56.322536,Q65175093,"Государственный литературно-мемориальный музей Н. А. Добролюбова — единственный в России и мире музей литературного критика и писателя Николая Александровича Добролюбова, расположен в Нижнем Новгороде.Музей располагается в двух зданиях, составляющих ансамбль усадьбы Добролюбовых. Дома построены в 1838 году по проекту известного архитектора Е.И. Кизеветтера и являются памятниками истории и культуры федерального и регионального значения. Семья Добролюбовых жила в двухэтажном флигеле усадьбы. Здесь прошли детство и юность писателя. В доме-музее восстановлена подлинная обстановка, которая состоит из мемориальных вещей.Соседний трёхэтажный дом Добролюбовы сдавали внаём. Сейчас это главное здание музея, в нем размещена литературная экспозиция, проходят выставки.Дом-музей Н.А. Добролюбова был открыт 13 сентября 1971 года, к 750-летию Нижнего Новгорода. Инициатором создания мемориального музея был доктор филологических наук, литературовед, краевед Серафим Андреевич Орлов (1910—1980). Первоначально музей существовал как филиал Государственного литературного музея им. М. Горького, которым руководил заслуженный работник культуры РСФСР Н. А. Забурдаев. С 1986 г. Музей Н.А. Добролюбова - самостоятельное учреждение культуры.В сентябре 2020 года было принято решение о реставрации музея."
50,R2906496,Борисоглебская башня,"towers,architecture,fortifications,historic,interesting_places,other_towers,fortified_towers",Нижний Новгород,relation/2906496,Q30891111,3h,44.006256,56.330738,Q30891111,"Борисоглебская башня — башня Нижегородского кремля, построенная в 1970-е гг. на месте одноимённой башни, разобранной за 200 лет до этого. Расположена между Зачатьевской и Георгиевской башнями."
